Agency	Sector	Country	Province1	Province	Latitude	Longitude	geo	Original Output (if different from current)	Current output	Original Indicator (if different from current)	Indicator	Start date	End date	First Indicator	Measure	Original Target (if different)	Target	Interim	Achieved	Final	% achieved to date	% to date	Final	Final %
NRC	Other	Greece	Macedonia	"Macedonia, Greece"	41.0956	"22.7700
"	"41.0956,22.7700
"		"3) Infrastructure: By 30 June, accessibility to camp infrastructure and services is improved"		# infrastructure upgrades or repairs implemented				#	60	47	1	1		2%	177%		
NRC	Other	Greece	Macedonia	"Macedonia, Greece"	"40.9960
"	22.6373	"40.9960
,22.6373"		"3) Infrastructure: By 30 June, accessibility to camp infrastructure and services is improved"		# infrastructure upgrades or repairs implemented				#	60	47	1	1		2%	177%		
NRC	Other	Greece	Macedonia	"Macedonia, Greece"	"40.6684
"	"22.8751
"	"40.6684
,22.8751
"		"3) Infrastructure: By 30 June, accessibility to camp infrastructure and services is improved"		# infrastructure upgrades or repairs implemented				#	60	47	1	1		2%	177%		
NRC	Other	Greece	Macedonia	"Macedonia, Greece"	"40.7643
"	"22.4464
"	"40.7643
,22.4464
"		"3) Infrastructure: By 30 June, accessibility to camp infrastructure and services is improved"		# infrastructure upgrades or repairs implemented				#	60	47	1	1		2%	177%		
NRC	Other	Greece	Macedonia	"Macedonia, Greece"	"40.6351 
"	"22.4543
"	"40.6351 
,22.4543
"		"3) Infrastructure: By 30 June, accessibility to camp infrastructure and services is improved"		# infrastructure upgrades or repairs implemented				#	60	47	1	1		2%	177%		
NRC	Other	Greece	Macedonia	"Macedonia, Greece"	40.7021	22.9026	"40.7021,22.9026"		"3) Infrastructure: By 30 June, accessibility to camp infrastructure and services is improved"		# asylum seekers benefiting from infrastructure upgrades				#	"36,000"	"14,574"	400	400		3%	54%	"148,172"	148%
NRC	Other	Greece	Macedonia	"Macedonia, Greece"	40.7021	22.9026	"40.7021,22.9026"		"3) Infrastructure: By 30 June, accessibility to camp infrastructure and services is improved"		# of beneficiaries with disabilities benefitting from specifically targeted infrastructure upgrades				#	"3,600"	141				0%	7%	"7,367"	18%
NRC	Other	Greece	Macedonia	"Macedonia, Greece"	40.6527	22.8533	"40.6527,22.8533"		"3) Infrastructure: By 30 June, accessibility to camp infrastructure and services is improved"		# of partners in target sites benefitting from improved facilities for their humanitarian interventions				#	144	10	30	30		300%	10%	"20,797"	52%
NRC	Other	Greece	Macedonia	"Macedonia, Greece"	40.7021	"22.9026
"	"40.7021,22.9026
"		"3) Infrastructure: By 30 June, accessibility to camp infrastructure and services is improved"		# of partners in target sites benefitting from improved facilities for their humanitarian interventions				#	144	10	30	30		300%	10%	"20,797"	52%
NRC	Other	Greece	Macedonia	"Macedonia, Greece"	"41.0956
"	22.77	"41.0956
,22.77"		"3) Infrastructure: By 30 June, accessibility to camp infrastructure and services is improved"		# of partners in target sites benefitting from improved facilities for their humanitarian interventions				#	144	10	30	30		300%	10%	"20,797"	52%
NRC	Other	Greece	Macedonia	"Macedonia, Greece"	"40.4875
"	"22.2478
"	"40.4875
,22.2478
"		"3) Infrastructure: By 30 June, accessibility to camp infrastructure and services is improved"		# of partners in target sites benefitting from improved facilities for their humanitarian interventions				#	144	10	30	30		300%	10%	"20,797"	52%
NRC	Other	Greece	Macedonia	"Macedonia, Greece"	"40.9960
"	"22.6373
"	"40.9960
,22.6373
"		"3) Infrastructure: By 30 June, accessibility to camp infrastructure and services is improved"		# of partners in target sites benefitting from improved facilities for their humanitarian interventions				#	144	10	30	30		300%	10%	"20,797"	52%
NRC	Other	Greece	Macedonia	"Macedonia, Greece"	"40.6684
"	"22.8751
"	"40.6684
,22.8751
"		"3) Infrastructure: By 30 June, accessibility to camp infrastructure and services is improved"		# of partners in target sites benefitting from improved facilities for their humanitarian interventions				#	144	10	30	30		300%	10%	"20,797"	52%
NRC	Other	Greece	Macedonia	"Macedonia, Greece"	40.7643	"22.4464
"	"40.7643,22.4464
"		"3) Infrastructure: By 30 June, accessibility to camp infrastructure and services is improved"		# of partners in target sites benefitting from improved facilities for their humanitarian interventions				#	144	10	30	30		300%	10%	"20,797"	52%
NRC	Other	Greece	Macedonia	"Macedonia, Greece"	"40.6351
"	"22.4543
"	"40.6351
,22.4543
"		"3) Infrastructure: By 30 June, accessibility to camp infrastructure and services is improved"		# of partners in target sites benefitting from improved facilities for their humanitarian interventions				#	144	10	30	30		300%	10%	"20,797"	52%
Samaritan's Purse	Food security & livelihoods	Greece	Kilkis	"Kilkis, Greece"	41.121608	22.518589	"41.121608,22.518589"	Target vulnerable migrant populations in Idomeni and Polycastro enjoy sufficient quality food up to 16th June 2016	Target vulnerable migrant populations in Idomeni and Polycastro enjoy sufficient quality food up to 1st June 2016		# of meals provided to target vulnerable population				#	"756,000"	"602,168"	"489,313"	"489,313"		81%	25%	20	100%
Samaritan's Purse	Food security & livelihoods	Greece	Kilkis	"Kilkis, Greece"	41.121608	22.518589	"41.121608,22.518589"	New output	Target vulnerable migrant populations in Souda and Dipethe (on Chios) enjoy sufficient quality food for 6 weeks	New indicator	# of meals provided to target vulnerable population				#	New target	"277,200"		"489,313"		0%	0%	0	0%
Translators Without Borders	Other	Greece	Attica	"Attica, Greece"	37.97945	23.71622	"37.97945,23.71622"		"Rapidly changing content is translated into Arabic, Farsi, Urdu and Kurdish"		"# of words translated of rapidly changing content into Arabic, Farsi, Urdu and Kurdish"	01/04/2016	31/08/2016		#	"60,000"	"100,000"	"54,000"	"148,172"	"148,172"	148%	43%	50	71%
Translators Without Borders	Protection	Greece	Attica	"Attica, Greece"	37.97945	23.71622	"37.97945,23.71622"		"Protection information is translated into Arabic, Farsi, Kurdish and Urdu"		"# of words translated of protection information into Arabic, Farsi, Kurdish and Urdu"	01/04/2016	31/08/2016		#		"40,000"	"2,806"	"7,367"	"7,367"	18%	#DIV/0!		
Translators Without Borders	Other	Greece	Attica	"Attica, Greece"	37.97945	23.71622	"37.97945,23.71622"		"Asylum information is translated into Arabic, Farsi , Urdu and Kurdish"		"# of words translated of asylum information into Arabic, Farsi , Urdu and Kurdish"	01/04/2016	31/08/2016		#		"40,000"	"4,022"	"20,797"	"20,797"	52%	20%	0	0%
Translators Without Borders	Other	Greece	Attica	"Attica, Greece"	37.97945	23.71622	"37.97945,23.71622"		"All types of content in Arabic, Farsi, Urdu and Kurdish are disseminated to most important sites and locations"		"# of pieces of content disseminated in Arabic, Farsi, Urdu and Kurdish to most important sites and locations"	01/04/2016	31/08/2016		#	60	30	8	20	20	67%	0%	0	0%
Translators Without Borders	Other	Greece	Attica	"Attica, Greece"	37.97945	23.71622	"37.97945,23.71622"		More Kurdish and Urdu RRT members are recruited and trained		# of new Kurdish and Urdu RRT members	22/05/2016	31/08/2016		#		20	5	20	20	100%	30%	30	75%
Translators Without Borders	Other	Greece	Attica	"Attica, Greece"	37.97945	23.71622	"37.97945,23.71622"		A group of RRT translators is trained in protection-focused humanitarian topics		# of RRT members trained in protection-focused humanitarian topics	01/04/2016	31/08/2016		#		20	0	0	0	0%	20%	22	110%
Translators Without Borders	Other	Greece	Attica	"Attica, Greece"	37.97945	23.71622	"37.97945,23.71622"		Aid organizations partner with TWB to coordinate dissemination of local language content (all types of content)		# of aid organizations partnering with TWB to coordinate dissemination of local language content (all types of content)	01/04/2016	31/08/2016		#		15	10	17	17	113%	0%	74	740%
Translators Without Borders	Other	Greece	Attica	"Attica, Greece"	37.97945	23.71622	"37.97945,23.71622"		Aid workers benefit from TWB's linguistic support		# of aid workers TWB assists by providing linguistic support	01/04/2016	31/08/2016		#		70	30	50	50	71%	0%	4	67%
Translators Without Borders	Other	Greece	Attica	"Attica, Greece"	37.97945	23.71622	"37.97945,23.71622"	Partner agencies adopt text-to-speech translation tools for improved communication with the affected populations	this has proven a task beyond the scope of this project. TWB is partnering with Microsoft to develop the technology and hopes to test and unroll it further in the year. Thus TWB will not be achieving this output within this project.	# of partner agencies using text-to-speech translation tools	this has proven a task beyond the scope of this project. TWB is partnering with Microsoft to develop the technology and hopes to test and unroll it further in the year. Thus TWB will not be achieving this output within this project.	01/04/2016	31/08/2024		#	5		0			#DIV/0!	0%	44	110%
Translators Without Borders	Other	Greece	Attica	"Attica, Greece"	37.97945	23.71622	"37.97945,23.71622"		Partner agancies adopt Google Translation Cards for improved communciations with affected populations		# of partner agancies using Google Translation Cards	01/04/2016	31/08/2016		#		5	1	0	0	0%	0%	0	0%
Translators Without Borders	Other	Greece	Attica	"Attica, Greece"	37.97945	23.71622	"37.97945,23.71622"		RRT translators use translation technology tools (including audio) for improved translation quality		# of RRT translators using improved translation technology tools	01/04/2016	31/08/2016		#		40	0	0	0	0%	25%		
Translators Without Borders	Other	Greece	Attica	"Attica, Greece"	37.97945	23.71622	"37.97945,23.71622"	"A ""translator and interpretor working group"" is established and meets regularly by mid-April"	"A ""translator and interpretor working group"" is established and meets regularly by mid-May"		# of partner agency staff and volunteers actively participating in the working group	27/05/2016	31/08/2016		#		40	12	30	30	75%	139%		
Translators Without Borders	Other	Greece	Attica	"Attica, Greece"	37.97945	23.71622	"37.97945,23.71622"	A roster of interpreters rand translators ready to be deployed on the ground is developed and used by partners by early May	A roster of humanitarian interpreters ready to be deployed on the ground is developed and used by partners by early June		"# of Arabic, Farsi, Urdu and Kurdish interpreters on the roster"	01/04/2016	31/08/2016		#		20	4	22	22	110%	90%		
Translators Without Borders	Other	Greece	Attica	"Attica, Greece"	37.97945	23.71622	"37.97945,23.71622"	Information gaps in local media are identified and shared with relevent partners	Information gaps in local media and social media are identified and shared with relevent partners	# of local media outlets monitored	# of local and social media outlets monitored	01/08/2016	31/08/2016		#		10	0	74	74	740%	10%		
Translators Without Borders	Other	Greece	Attica	"Attica, Greece"	37.97945	23.71622	"37.97945,23.71622"	Information gaps and critical needs on the ground are identified and shared with relevent partners	Critical needs on the ground are identified and key information tested for comprehensibility		# of roving translators deployed	01/06/2016	31/08/2016		#		6	0	4	4	67%	0%		
Translators Without Borders	Other	Greece	Attica	"Attica, Greece"	37.97945	23.71622	"37.97945,23.71622"	New output	Words of Relief community interpreter training for partner staff and volunteers	New indicator	# of partner staff and volunteers trained	25/07/2016	29/07/2016		#	New target	40	0	44	44	110%	32%		
Translators Without Borders	Other	Greece	Attica	"Attica, Greece"	37.97945	23.71622	"37.97945,23.71622"	New output	Needs assessment for Words of Relief community interpreter training for asylum seekers is conducted	New indicator	# of roving translators conducting needs assessment in Greece		31/08/2016		#	New target	2	0	0	0	0%	32%		
Oxfam	Protection	Serbia	Presevo	"Presevo, Serbia"	42.30878	21.650346	"42.30878,21.650346"	"By the 30th June 2016
psychosocial support and essential information will be provided to at least 1500 refugees and migrants to improve their safety and security in Serbia"	"By the 31st August 2016
psychosocial support and essential information will be provided to at least 1500 refugees and migrants to improve their safety and security in Serbia"		# of persons to which psychosocial support and information is provided				#	1500	2778	687	687		25%	100%		
Oxfam	Protection	Serbia	Horgos	"Horgos, Serbia"	46.148605	19.953513	"46.148605,19.953513"	"By the 30th June 2016
psychosocial support and essential information will be provided to at least 1500 refugees and migrants to improve their safety and security in Serbia"	"By the 31st August 2016
psychosocial support and essential information will be provided to at least 1500 refugees and migrants to improve their safety and security in Serbia"		# of persons to which psychosocial support and information is provided				#	1500	2778	687	687		25%	100%		
Oxfam	Protection	Serbia	Belgrade	"Belgrade, Serbia"	44.786568	20.448922	"44.786568,20.448922"	"By the 30th June 2016
psychosocial support and essential information will be provided to at least 1500 refugees and migrants to improve their safety and security in Serbia"	"By the 31st August 2016
psychosocial support and essential information will be provided to at least 1500 refugees and migrants to improve their safety and security in Serbia"		# of persons to which psychosocial support and information is provided				#	1500	2778	687	687		25%	100%		
Oxfam	Protection	Serbia	Presevo	"Presevo, Serbia"	42.30878	21.650346	"42.30878,21.650346"	"By the 30th June 2016 
referral and case management will be provided to at least 150 refugees and migrants in Serbia"	By the 31st August 2016 referral and case management will be provided to at least 278 refugees and migrants in Serbia		# of completed assessments of refugee support needs				#	150	278	386	386		139%	0%		
Oxfam	Protection	Serbia	Horgos	"Horgos, Serbia"	46.148605	19.953513	"46.148605,19.953513"	"By the 30th June 2016 
referral and case management will be provided to at least 150 refugees and migrants in Serbia"	By the 31st August 2016 referral and case management will be provided to at least 278 refugees and migrants in Serbia		# of completed assessments of refugee support needs				#	150	278	386	386		139%	0%		
Oxfam	Protection	Serbia	Belgrade	"Belgrade, Serbia"	44.786568	20.448922	"44.786568,20.448922"	"By the 30th June 2016 
referral and case management will be provided to at least 150 refugees and migrants in Serbia"	By the 31st August 2016 referral and case management will be provided to at least 278 refugees and migrants in Serbia		# of completed assessments of refugee support needs				#	150	278	386	386		139%	0%		
Oxfam	Protection	Serbia	Tabanovce	"Tabanovce, Serbia"	42.213023	21.710788	"42.213023,21.710788"	"By the 30th June 2016 
referral and case management will be provided to at least 150 refugees and migrants in Serbia"	By the 31st August 2016 referral and case management will be provided to at least 278 refugees and migrants in Serbia		# of completed assessments of refugee support needs				#	150	278	386	386		139%	0%		
Oxfam	Protection	Serbia	Gevgelia	"Gevgelia, Serbia"	41.145189	22.499747	"41.145189,22.499747"	"By the 30th June 2016 
referral and case management will be provided to at least 150 refugees and migrants in Serbia"	By the 31st August 2016 referral and case management will be provided to at least 278 refugees and migrants in Serbia		# of completed assessments of refugee support needs				#	150	278	386	386		139%	0%		
Oxfam	Shelter	Serbia	Belgrade	"Belgrade, Serbia"	44.786568	20.448922	"44.786568,20.448922"		"By the 15th May 2016 
a specific safe shelters for male and female survivors of trafficking, abuse and trauma will be established in Belgrade"		# of men and women who are referred to the shelther				#	12	20	17	18		85%			
Oxfam	Protection	Serbia	Krnjaca	"Krnjaca, Serbia"	"44,843,431"	"20,521,559"	"44843431,20521559"	"By the 30th June 2016
at least 18 workshops will be held for refugees and migrants to build skills and knowlegde and increase personal resilience"	By the 31st August 2016 at least 20 workshops will be held for refugees and migrants to build skills and knowlege and increase personal resilience		# of workshop conducted				#	18	20	2	2		10%			
Oxfam	Protection	Serbia	Presevo	"Presevo, Serbia"	42.30878	21.650346	"42.30878,21.650346"	"By the 30th June 2016
at least 18 workshops will be held for refugees and migrants to build skills and knowlegde and increase personal resilience"	By the 31st August 2016 at least 20 workshops will be held for refugees and migrants to build skills and knowlege and increase personal resilience		# of workshop conducted				#	18	20	2	2		10%			
Oxfam	Social Mobalisation	Serbia	Belgrade	"Belgrade, Serbia"	44.786568	20.448922	"44.786568,20.448922"	"By the 30th June 2016
advocacy materials will be produced that will sensitize local population, public rapresentatives and international audience about condition of the migrants, violation of Human rights, and give voice to the migrants"	"By the 31st August 2016
advocacy materials will be produced that will sensitize local population, public rapresentatives and international audience about condition of the migrants, violation of Human rights, and give voice to the migrants"		# of advocacy materials produced				#		2	0	0		0%			
Oxfam	Protection	Macedonia	Tabanovce	"Tabanovce, Macedonia"	42.213023	21.710788	"42.213023,21.710788"	"By the 30th June 2016 
protection outreach activities, including legal assistance and psychosocial support, will benefit at least 400 refugees and migrants in Macedonia"	"By the 31st August 2016 protection outreach activities, including legal assistance and psychosocial support, will benefit at least 600 refugees and migrants in Macedonia"		# of people provided with legal assistance and psychosocial support				#	400	667	214	214		32%			
Oxfam	Protection	Macedonia	Gevgelia	"Gevgelia, Macedonia"	41.145189	22.499747	"41.145189,22.499747"	"By the 30th June 2016 
protection outreach activities, including legal assistance and psychosocial support, will benefit at least 400 refugees and migrants in Macedonia"	"By the 31st August 2016 protection outreach activities, including legal assistance and psychosocial support, will benefit at least 600 refugees and migrants in Macedonia"		# of people provided with legal assistance and psychosocial support				#	400	667	214	214		32%			
Oxfam	Protection	Macedonia	Tabanovce	"Tabanovce, Macedonia"	42.213023	21.710788	"42.213023,21.710788"		"By the 15th May 2016 
regular and ongoing monitoring of the Greek-Macedonian and Serbian-Macedonian borders will be conducted to record refugee push backs and irregular migration flows"		# of border monitoring reports completed				#		25	8	8		32%			
Oxfam	Protection	Macedonia	Gevgelia	"Gevgelia, Macedonia"	41.145189	22.499747	"41.145189,22.499747"		"By the 15th May 2016 
regular and ongoing monitoring of the Greek-Macedonian and Serbian-Macedonian borders will be conducted to record refugee push backs and irregular migration flows"		# of border monitoring reports completed				#		25	8	8		32%			
Oxfam	Social Mobalisation	Macedonia	Gevgelia	"Gevgelia, Macedonia"	41.145189	22.499747	"41.145189,22.499747"	"By the 30th June 2016 
at least 20 community sensitisation meetings will be conducted in villages along the Macedonian Greek border to improve understanding of refugee issues"	"By the 31st August 2016 
at least 20 community sensitisation meetings will be conducted in villages along the Macedonian Greek border to improve understanding of refugee issues"		# of community sensitisation meetings conducted				#		20	34	34		170%			
Oxfam	Protection	Macedonia	Tabanovce	"Tabanovce, Macedonia"	42.213023	21.710788	"42.213023,21.710788"		By the 31st May 2016 cross border referal processes and procedures have been agreed and established between MYLA and ATINA		# of established referral processes between MYLA and ATINA				#		1	1	1		100%			
Oxfam	Protection	Macedonia	Tabanovce	"Tabanovce, Macedonia"	42.213023	21.710788	"42.213023,21.710788"	New output	By the 31st August 2016 around 4000 refugees and migrants will receive clothes and hygiene items	New indicator	# of clothes and hygiene items distributed				#	New target	4000		1		0%			
